Full_Name,Appointing_President_1,Party_of_Appointing_President_1,Degree_Number,School,Degree,Degree_Year,DYear,School_Neat,Degree_Neat
Sherman Minton,Harry S Truman,Democratic,1,Indiana University School of Law -- Bloomington (now Maurer School of Law),LL.B.,1915-01-01,1915,Maurer,LL.B.
Harold Hitz Burton,Harry S Truman,Democratic,1,Bowdoin College,A.B.,1909-01-01,1909,Bowdoin,B.A.
Tom C. Clark,Harry S Truman,Democratic,1,University of Texas,A.B.,1921-01-01,1921,Uof Texas,B.A.
Warren Earl Burger,Richard M. Nixon,Republican,1,St. Paul College of Law (now Mitchell Hamline School of Law),LL.B.,1931-01-01,1931,Mitchell Hamline,LL.B.
"Lewis Franklin Powell, Jr.",Richard M. Nixon,Republican,1,Washington and Lee University,B.S.,1929-01-01,1929,Washington and Lee,B.S.
Harry Andrew Blackmun,Richard M. Nixon,Republican,1,Harvard College,A.B.,1929-01-01,1929,Harvard,B.A.
William Burnham Woods,Rutherford B. Hayes,Republican,1,Yale College,A.B.,1845-01-01,1845,Yale,B.A.
John Marshall Harlan,Rutherford B. Hayes,Republican,1,Transylvania University Law Department,,,,Transylvania,
Stanley Matthews,James A. Garfield,Republican,1,Kenyon College,B.A.,1840-01-01,1840,Kenyon,B.A.
Abe Fortas,Lyndon B. Johnson,Democratic,1,"Southwestern College, Memphis, Tennessee",A.B.,1930-01-01,1930,"Southwestern, Memphis, Tennessee",B.A.
Thurgood Marshall,Lyndon B. Johnson,Democratic,1,"Lincoln University, Pennsylvania",A.B.,1930-01-01,1930,"Lincoln, Pennsylvania",B.A.
Edward Douglass White,William H. Taft,Republican,1,Georgetown College (now Georgetown University),,,,Georgetown,
Willis Van Devanter,William H. Taft,Republican,1,Cincinnati Law School (now University of Cincinnati College of Law),LL.B.,1881-01-01,1881,Uof Cincinnati,LL.B.
Horace Harmon Lurton,William H. Taft,Republican,1,"Douglas University, Chicago, Illinois",,,,"Douglas, Chicago, Illinois",
Joseph Rucker Lamar,William H. Taft,Republican,1,Washington and Lee University School of Law,,,,Washington and Lee,
Mahlon Pitney,William H. Taft,Republican,1,College of New Jersey (now Princeton University),A.B.,1879-01-01,1879,Princeton,B.A.
William Howard Taft,Warren G. Harding,Republican,1,Yale College,B.A.,1878-01-01,1878,Yale,B.A.
George Sutherland,Warren G. Harding,Republican,1,University of Michigan Law School,,,,Uof Michigan,
Edward Terry Sanford,Warren G. Harding,Republican,1,University of Tennessee,"B.A., Ph.B.",1883-01-01,1883,Uof Tennessee,"B.A., Ph.B."
Pierce Butler,Warren G. Harding,Republican,1,Carleton College,B.S.,1887-01-01,1887,Carleton,B.S.
David Hackett Souter,George H.W. Bush,Republican,1,Harvard College,B.A.,1961-01-01,1961,Harvard,B.A.
Clarence Thomas,George H.W. Bush,Republican,1,College of the Holy Cross,B.A.,1971-01-01,1971, the Holy Cross,B.A.
"John Glover Roberts, Jr.",George W. Bush,Republican,1,Harvard College,A.B.,1976-01-01,1976,Harvard,B.A.
"Samuel A. Alito, Jr.",George W. Bush,Republican,1,Princeton University,A.B.,1972-01-01,1972,Princeton,B.A.
William Hubbs Rehnquist,Ronald Reagan,Republican,1,Stanford University,B.A.,1948-01-01,1948,Stanford,B.A.
Anthony McLeod Kennedy,Ronald Reagan,Republican,1,Stanford University,B.A.,1958-01-01,1958,Stanford,B.A.
Sandra Day O'Connor,Ronald Reagan,Republican,1,Stanford University,A.B.,1950-01-01,1950,Stanford,B.A.
Antonin Scalia,Ronald Reagan,Republican,1,Georgetown College (now Georgetown University),B.A.,1957-01-01,1957,Georgetown,B.A.
Stephen Gerald Breyer,William J. Clinton,Democratic,1,Stanford University,A.B.,1959-01-01,1959,Stanford,B.A.
Ruth Bader Ginsburg,William J. Clinton,Democratic,1,Harvard Law School,,,,Harvard,
Sonia Sotomayor,Barack Obama,Democratic,1,Princeton University,B.A.,1976-01-01,1976,Princeton,B.A.
Elena Kagan,Barack Obama,Democratic,1,Princeton University,A.B.,1981-01-01,1981,Princeton,B.A.
John Jay,George Washington,,1,King`s College (now Columbia University),B.A.,1764-01-01,1764,Columbia,B.A.
John Rutledge,George Washington,,1,"Middle Temple, London, England",,,,"Middle Temple, London, England",
Oliver Ellsworth,George Washington,,1,College of New Jersey (now Princeton University),B.A.,1766-01-01,1766,Princeton,B.A.
Thomas Johnson,George Washington,,1,Read law,,1760-01-01,1760,Read law,
William Paterson,George Washington,,1,College of New Jersey (now Princeton University),,1763-01-01,1763,Princeton,
William Cushing,George Washington,,1,Harvard College,A.B.,1751-01-01,1751,Harvard,B.A.
James Wilson,George Washington,,1,University of Glasgow,,,,Uof Glasgow,
"John Blair, Jr.",George Washington,,1,College of William and Mary,A.B.,1754-01-01,1754, William and Mary,B.A.
Samuel Chase,George Washington,,1,Read law,,1763-01-01,1763,Read law,
James Iredell,George Washington,,1,Read law,,1770-01-01,1770,Read law,
John Marshall,John Adams,Federalist,1,Read law,,1780-01-01,1780,Read law,
Bushrod Washington,John Adams,Federalist,1,College of William and Mary,A.B.,1778-01-01,1778, William and Mary,B.A.
Alfred Moore,John Adams,Federalist,1,Read law,,1775-01-01,1775,Read law,
Roger Brooke Taney,Andrew Jackson,Democratic,1,Dickinson College,,1795-01-01,1795,Dickinson,
Henry Baldwin,Andrew Jackson,Democratic,1,Yale College,B.A.,1797-01-01,1797,Yale,B.A.
Philip Pendelton Barbour,Andrew Jackson,Democratic,1,Read law,,1800-01-01,1800,Read law,
James Moore Wayne,Andrew Jackson,Democratic,1,College of New Jersey (now Princeton University),,1808-01-01,1808,Princeton,
John McLean,Andrew Jackson,Democratic,1,Read law,,1807-01-01,1807,Read law,
John Catron,Andrew Jackson,Democratic,1,Read law,,1815-01-01,1815,Read law,
Henry Brockholst Livingston,Thomas Jefferson,Jeffersonian Republican,1,College of New Jersey (now Princeton University),B.A.,1774-01-01,1774,Princeton,B.A.
"William Johnson, Jr.",Thomas Jefferson,Jeffersonian Republican,1,College of New Jersey (now Princeton University),A.B.,1790-01-01,1790,Princeton,B.A.
