Full_Name,Appointing_President_1,Party_of_Appointing_President_1,Degree_Number,School,Degree,Degree_Year,DYear,School_Neat,Degree_Neat
Lawrence Joseph O'Neill,George W. Bush,Republican,2,Golden Gate University,M.P.A.,1976-01-01,1976,Golden Gate,M.P.A.
John A. Mendez,George W. Bush,Republican,2,Harvard Law School,J.D.,1980-01-01,1980,Harvard,J.D.
Robert Everett Coyle,Ronald Reagan,Republican,2,"University of California, Hastings College of the Law",J.D.,1956-01-01,1956,"Uof California, Hastings the",J.D.
Edward J. Garcia,Ronald Reagan,Republican,2,McGeorge School of Law,LL.B.,1958-01-01,1958,McGeorge,LL.B.
Anthony W. Ishii,William J. Clinton,Democratic,2,"University of the Pacific, School of Pharmacy",Ph.G.,1970-01-01,1970,"Uof the Pacific, of Pharmacy",Ph.G.
"Frank C. Damrell, Jr.",William J. Clinton,Democratic,2,Yale Law School,LL.B.,1964-01-01,1964,Yale,LL.B.
Dale Alan Drozd,Barack Obama,Democratic,2,"University of California, Los Angeles, School of Law",J.D.,1980-01-01,1980,"Uof California, Los Angeles",J.D.
Kimberly Jo Mueller,Barack Obama,Democratic,2,Stanford Law School,J.D.,1995-01-01,1995,Stanford,J.D.
Troy Lynne Nunley,Barack Obama,Democratic,2,"University of California, Hastings College of the Law",J.D.,1990-01-01,1990,"Uof California, Hastings the",J.D.
Lawrence K. Karlton,Jimmy Carter,Democratic,2,,,,,,
Milton Lewis Schwartz,Jimmy Carter,Democratic,2,"University of California, Berkeley, Boalt Hall School of Jurisprudence",J.D.,1948-01-01,1948,"Uof California, Berkeley",J.D.
Edward Dean Price,Jimmy Carter,Democratic,2,"University of California, Berkeley, Boalt Hall School of Jurisprudence",LL.B.,1949-01-01,1949,"Uof California, Berkeley",LL.B.
Raul Anthony Ramirez,Jimmy Carter,Democratic,2,"University of the Pacific, McGeorge School of Law",J.D.,1970-01-01,1970,"Uof the Pacific, McGeorge",J.D.
William Terrell Hodges,Richard M. Nixon,Republican,2,University of Florida College of Law,J.D.,1958-01-01,1958,Uof Florida,J.D.
"John Alton Reed, Jr.",Richard M. Nixon,Republican,2,Duke University School of Law,LL.B.,1956-01-01,1956,Duke,LL.B.
"Isaac Benjamin Krentzman, Jr.",Lyndon B. Johnson,Democratic,2,University of Florida College of Law,J.D.,1938-01-01,1938,Uof Florida,J.D.
Charles Ray Scott,Lyndon B. Johnson,Democratic,2,,,,,,
Anne C. Conway,George H.W. Bush,Republican,2,University of Florida College of Law,J.D.,1975-01-01,1975,Uof Florida,J.D.
Harvey Erwin Schlesinger,George H.W. Bush,Republican,2,"University of Richmond, T.C. Williams School of Law",J.D.,1965-01-01,1965,"Uof Richmond, T.C. Williams",J.D.
"Ralph Wilson Nimmons, Jr.",George H.W. Bush,Republican,2,University of Florida College of Law,J.D.,1963-01-01,1963,Uof Florida,J.D.
Steven Douglas Merryday,George H.W. Bush,Republican,2,University of Florida College of Law,J.D.,1975-01-01,1975,Uof Florida,J.D.
Mary Stenson Scriven,George W. Bush,Republican,2,Florida State University College of Law,J.D.,1987-01-01,1987,Florida State,J.D.
Marcia Morales Howard,George W. Bush,Republican,2,University of Florida College of Law,J.D.,1990-01-01,1990,Uof Florida,J.D.
Virginia Maria Hernandez Covington,George W. Bush,Republican,2,University of Tampa,M.B.A.,1977-01-01,1977,Uof Tampa,M.B.A.
Timothy J. Corrigan,George W. Bush,Republican,2,Duke University School of Law,J.D.,1981-01-01,1981,Duke,J.D.
George Kendall Sharp,Ronald Reagan,Republican,2,University of Virginia School of Law,J.D.,1963-01-01,1963,Uof Virginia,J.D.
Patricia C. Fawsett,Ronald Reagan,Republican,2,University of Florida,M.A.T.,1966-01-01,1966,Uof Florida,M.A.T.
Elizabeth Anne Kovachevich,Ronald Reagan,Republican,2,University of Miami,B.B.A.,1958-01-01,1958,Uof Miami,B.B.A.
"John Henry Moore, II",Ronald Reagan,Republican,2,University of Florida College of Law,J.D.,1961-01-01,1961,Uof Florida,J.D.
"John Antoon, II",William J. Clinton,Democratic,2,Florida State University College of Law,J.D.,1971-01-01,1971,Florida State,J.D.
James D. Whittemore,William J. Clinton,Democratic,2,Stetson University College of Law,J.D.,1977-01-01,1977,Stetson,J.D.
"Henry Lee Adams, Jr.",William J. Clinton,Democratic,2,Howard University School of Law,J.D.,1969-01-01,1969,Howard,J.D.
Susan C. Bucklew,William J. Clinton,Democratic,2,University of South Florida,M.A.,1968-01-01,1968,Uof South Florida,M.A.
Richard A. Lazzara,William J. Clinton,Democratic,2,University of Florida College of Law,J.D.,1970-01-01,1970,Uof Florida,J.D.
John E. Steele,William J. Clinton,Democratic,2,University of Detroit Law School (now University of Detroit Mercy School of Law),J.D.,1973-01-01,1973,Uof Detroit Mercy,J.D.
"James S. Moody, Jr.",William J. Clinton,Democratic,2,University of Florida College of Law,J.D.,1972-01-01,1972,Uof Florida,J.D.
Gregory A. Presnell,William J. Clinton,Democratic,2,University of Florida College of Law,J.D.,1966-01-01,1966,Uof Florida,J.D.
Carlos Eduardo Mendoza,Barack Obama,Democratic,2,West Virginia University,B.A.,1993-01-01,1993,West Virginia,B.A.
"Roy Bale Dalton, Jr.",Barack Obama,Democratic,2,University of Florida College of Law,J.D.,1976-01-01,1976,Uof Florida,J.D.
Charlene Vanessa Edwards Honeywell,Barack Obama,Democratic,2,University of Florida College of Law,J.D.,1981-01-01,1981,Uof Florida,J.D.
Brian Jordan Davis,Barack Obama,Democratic,2,University of Florida College of Law,J.D.,1980-01-01,1980,Uof Florida,J.D.
Paul Gregory Byron,Barack Obama,Democratic,2,University of Michigan,A.B.,1983-01-01,1983,Uof Michigan,B.A.
Sheri Polster Chappell,Barack Obama,Democratic,2,"Nova University, Shepard Broad Law Center",J.D.,1987-01-01,1987,"Nova, Shepard Broad",J.D.
,Donald J. Trump,Republican,2,University of Pennsylvania Law School,J.D.,1992-01-01,1992,Uof Pennsylvania,J.D.
,Donald J. Trump,Republican,2,University of Illinois College of Law,J.D.,1983-01-01,1983,Uof Illinois,J.D.
George Carter Carr,Jimmy Carter,Democratic,2,University of Florida College of Law,LL.B.,1954-01-01,1954,Uof Florida,LL.B.
"Howell Webster Melton, Sr.",Jimmy Carter,Democratic,2,University of Florida College of Law,J.D.,1948-01-01,1948,Uof Florida,J.D.
William John Castagna,Jimmy Carter,Democratic,2,University of Florida College of Law,J.D.,1967-01-01,1967,Uof Florida,J.D.
Richard W. Goldberg,George H.W. Bush,Republican,2,University of Miami School of Law,J.D.,1952-01-01,1952,Uof Miami,J.D.
Timothy C. Stanceu,George W. Bush,Republican,2,Georgetown University Law Center,J.D.,1979-01-01,1979,Georgetown,J.D.
Leo Maury Gordon,George W. Bush,Republican,2,Emory University School of Law,J.D.,1977-01-01,1977,Emory,J.D.
R. Kenton Musgrave,Ronald Reagan,Republican,2,Emory University School of Law,J.D.,1953-01-01,1953,Emory,J.D.
Gregory Wright Carman,Ronald Reagan,Republican,2,St. John`s University School of Law,J.D.,1961-01-01,1961,St. John`s,J.D.
"Thomas Joseph Aquilino, Jr.",Ronald Reagan,Republican,2,Rutgers School of Law -- Newark,J.D.,1969-01-01,1969,Rutgers,J.D.
Jane A. Restani,Ronald Reagan,Republican,2,"University of California, Davis, School of Law",J.D.,1973-01-01,1973,"Uof California, Davis",J.D.
Dominick L. DiCarlo,Ronald Reagan,Republican,2,St. John`s University School of Law,LL.B.,1953-01-01,1953,St. John`s,LL.B.
Nicholas Tsoucalas,Ronald Reagan,Republican,2,New York Law School,LL.B.,1951-01-01,1951,New York,LL.B.
Richard K. Eaton,William J. Clinton,Democratic,2,Albany Law School,J.D.,1974-01-01,1974,Albany,J.D.
Donald Carl Pogue,William J. Clinton,Democratic,2,Yale Law School,J.D.,1974-01-01,1974,Yale,J.D.
Judith Morgenstern Barzilay,William J. Clinton,Democratic,2,"Rutgers University, School of Library and Information Science",M.L.S.,1971-01-01,1971,"Rutgers, of Library and Information Science",M.L.S.
Delissa Anne Ridgway,William J. Clinton,Democratic,2,Northeastern University School of Law,J.D.,1979-01-01,1979,Northeastern,J.D.
Jennifer Choe Groves,Barack Obama,Democratic,2,Rutgers School of Law -- Newark,J.D.,1994-01-01,1994,Rutgers,J.D.
Gary S. Katzmann,Barack Obama,Democratic,2,University of Oxford,M.Litt.,1976-01-01,1976,Uof Oxford,M.Litt.
Mark Allen Barnett,Barack Obama,Democratic,2,University of Michigan Law School,J.D.,1988-01-01,1988,Uof Michigan,J.D.
Claire Rita Kelly,Barack Obama,Democratic,2,Brooklyn Law School,J.D.,1993-01-01,1993,Brooklyn,J.D.
"Stanley F. Birch, Jr.",George H.W. Bush,Republican,2,Emory University School of Law,J.D.,1970-01-01,1970,Emory,J.D.
Joel Fredrick Dubina,George H.W. Bush,Republican,2,"Samford University, Cumberland School of Law",J.D.,1973-01-01,1973,"Samford, Cumberland",J.D.
Edward Earl Carnes,George H.W. Bush,Republican,2,Harvard Law School,J.D.,1975-01-01,1975,Harvard,J.D.
Susan Harrell Black,George H.W. Bush,Republican,2,University of Florida College of Law,J.D.,1967-01-01,1967,Uof Florida,J.D.
"William Holcombe Pryor, Jr.",George W. Bush,Republican,2,Tulane University Law School,J.D.,1987-01-01,1987,Tulane,J.D.
Emmett Ripley Cox,Ronald Reagan,Republican,2,University of Alabama School of Law,LL.B.,1959-01-01,1959,Uof Alabama,LL.B.
James Larry Edmondson,Ronald Reagan,Republican,2,University of Georgia School of Law,J.D.,1971-01-01,1971,Uof Georgia,J.D.
Rosemary Barkett,William J. Clinton,Democratic,2,Spring Hill College,B.S.,1967-01-01,1967,Spring Hill,B.S.
Stanley Marcus,William J. Clinton,Democratic,2,Harvard Law School,J.D.,1971-01-01,1971,Harvard,J.D.
Frank M. Hull,William J. Clinton,Democratic,2,Emory University School of Law,J.D.,1973-01-01,1973,Emory,J.D.
Charles R. Wilson,William J. Clinton,Democratic,2,Notre Dame Law School,J.D.,1979-01-01,1979,Notre Dame,J.D.
Robin Stacie Rosenbaum,Barack Obama,Democratic,2,University of Miami School of Law,J.D.,1991-01-01,1991,Uof Miami,J.D.
Jill Anne Pryor,Barack Obama,Democratic,2,Yale Law School,J.D.,1988-01-01,1988,Yale,J.D.
Beverly Baldwin Martin,Barack Obama,Democratic,2,University of Georgia School of Law,J.D.,1981-01-01,1981,Uof Georgia,J.D.
Julie E. Carnes,Barack Obama,Democratic,2,University of Georgia School of Law,J.D.,1975-01-01,1975,Uof Georgia,J.D.
Adalberto Jose Jordan,Barack Obama,Democratic,2,University of Miami School of Law,J.D.,1987-01-01,1987,Uof Miami,J.D.
,Donald J. Trump,Republican,2,Harvard Law School,J.D.,1997-01-01,1997,Harvard,J.D.
,Donald J. Trump,Republican,2,Emory University School of Law,J.D.,1994-01-01,1994,Emory,J.D.
,Donald J. Trump,Republican,2,Stanford Law School,J.D.,2007-01-01,2007,Stanford,J.D.
Alan David Lourie,George H.W. Bush,Republican,2,University of Wisconsin,M.S.,1958-01-01,1958,Uof Wisconsin,M.S.
S. Jay Plager,George H.W. Bush,Republican,2,University of Florida College of Law,J.D.,1958-01-01,1958,Uof Florida,J.D.
Alvin Anthony Schall,George H.W. Bush,Republican,2,Tulane University Law School,J.D.,1969-01-01,1969,Tulane,J.D.
"Raymond Charles Clevenger, III",George H.W. Bush,Republican,2,Yale Law School,LL.B.,1966-01-01,1966,Yale,LL.B.
Randall Ray Rader,George H.W. Bush,Republican,2,George Washington University Law School,J.D.,1978-01-01,1978,George Washington,J.D.
Sharon Prost,George W. Bush,Republican,2,George Washington University,M.B.A.,1975-01-01,1975,George Washington,M.B.A.
Kimberly Ann Moore,George W. Bush,Republican,2,Massachusetts Institute of Technology,M.S.,1991-01-01,1991,Massachusetts Institute of Technology,M.S.
Paul Redmond Michel,Ronald Reagan,Republican,2,University of Virginia School of Law,J.D.,1966-01-01,1966,Uof Virginia,J.D.
"Glenn Leroy Archer, Jr.",Ronald Reagan,Republican,2,George Washington University Law School,J.D.,1954-01-01,1954,George Washington,J.D.
Haldane Robert Mayer,Ronald Reagan,Republican,2,U.S. Military Academy,B.S.,1963-01-01,1963,U.S. Military Academy,B.S.
Pauline Newman,Ronald Reagan,Republican,2,Columbia University,M.A.,1948-01-01,1948,Columbia,M.A.
Jean Galloway Bissell,Ronald Reagan,Republican,2,University of South Carolina School of Law,LL.B.,1958-01-01,1958,Uof South Carolina,LL.B.
William Curtis Bryson,William J. Clinton,Democratic,2,University of Texas School of Law,J.D.,1973-01-01,1973,Uof Texas,J.D.
Arthur J. Gajarsa,William J. Clinton,Democratic,2,Catholic University of America,M.A.,1964-01-01,1964,Catholic Uof America,M.A.
Richard Linn,William J. Clinton,Democratic,2,Georgetown University Law Center,J.D.,1969-01-01,1969,Georgetown,J.D.
Timothy B. Dyk,William J. Clinton,Democratic,2,Harvard Law School,J.D.,1961-01-01,1961,Harvard,J.D.
Richard Gary Taranto,Barack Obama,Democratic,2,Yale Law School,J.D.,1981-01-01,1981,Yale,J.D.
Todd Michael Hughes,Barack Obama,Democratic,2,Duke University,M.A.,1992-01-01,1992,Duke,M.A.
Evan Jonathan Wallach,Barack Obama,Democratic,2,"University of California, Berkeley, Boalt Hall School of Law",J.D.,1976-01-01,1976,"Uof California, Berkeley",J.D.
Raymond T. Chen,Barack Obama,Democratic,2,New York University School of Law,J.D.,1994-01-01,1994,New York,J.D.
Jimmie V. Reyna,Barack Obama,Democratic,2,University of New Mexico School of Law,J.D.,1978-01-01,1978,Uof New Mexico,J.D.
Kathleen McDonald O'Malley,Barack Obama,Democratic,2,Case Western Reserve University School of Law,J.D.,1982-01-01,1982,Case Western Reserve,J.D.
Kara Farnandez Stoll,Barack Obama,Democratic,2,Georgetown University Law Center,J.D.,1997-01-01,1997,Georgetown,J.D.
Joe Billy McDade,George H.W. Bush,Republican,2,Bradley University,M.S.,1960-01-01,1960,Bradley,M.S.
Richard Henry Mills,Ronald Reagan,Republican,2,Mercer University School of Law,J.D.,1957-01-01,1957,Mercer,J.D.
Michael Martin Mihm,Ronald Reagan,Republican,2,St. Louis University School of Law,J.D.,1967-01-01,1967,St. Louis,J.D.
Michael Patrick McCuskey,William J. Clinton,Democratic,2,St. Louis University School of Law,J.D.,1975-01-01,1975,St. Louis,J.D.
Jeanne E. Scott,William J. Clinton,Democratic,2,Northwestern University School of Law,J.D.,1973-01-01,1973,Northwestern,J.D.
Colin Stirling Bruce,Barack Obama,Democratic,2,University of Illinois College of Law,J.D.,1989-01-01,1989,Uof Illinois,J.D.
Sue Ellen Myerscough,Barack Obama,Democratic,2,Southern Illinois University School of Law,J.D.,1980-01-01,1980,Southern Illinois,J.D.
James Edward Shadid,Barack Obama,Democratic,2,"John Marshall Law School, Chicago, Illinois",J.D.,1983-01-01,1983,"John Marshall, Chicago, Illinois",J.D.
Sara Lynn Darrow,Barack Obama,Democratic,2,St. Louis University School of Law,J.D.,1997-01-01,1997,St. Louis,J.D.
James J. Brady,William J. Clinton,Democratic,2,Louisiana State University Law School,J.D.,1969-01-01,1969,Louisiana State,J.D.
Ralph E. Tyson,William J. Clinton,Democratic,2,Louisiana State University Law School,J.D.,1973-01-01,1973,Louisiana State,J.D.
Brian Anthony Jackson,Barack Obama,Democratic,2,Southern University Law Center,J.D.,1985-01-01,1985,Southern,J.D.
John Wheadon deGravelles,Barack Obama,Democratic,2,Louisiana State University Law School,J.D.,1974-01-01,1974,Louisiana State,J.D.
Shelly Deckert Dick,Barack Obama,Democratic,2,"Louisiana State University, Paul M. Hebert Law Center",J.D.,1988-01-01,1988,Louisiana State,J.D.
Frank Joseph Polozola,Jimmy Carter,Democratic,2,,,,,,
John Victor Parker,Jimmy Carter,Democratic,2,Louisiana State University Law School,J.D.,1952-01-01,1952,Louisiana State,J.D.
George Parker Scarburgh,Franklin Pierce,Democratic,3,,,,,,
John James Gilchrist,Franklin Pierce,Democratic,3,,,,,,
Isaac Newton Blackford,Franklin Pierce,Democratic,3,"Read law with Col. George McDonald, Somerville, New Jersey",,1810-01-01,1810,"Read law with Col. George McDonald, Somerville, New Jersey",
Edward Greely Loring,James Buchanan,Democratic,3,,,,,,
James Hughes,James Buchanan,Democratic,3,Read law,,1842-01-01,1842,Read law,
John Chandler Bancroft Davis,Chester A. Arthur,Republican,3,,,,,,
Lawrence Weldon,Chester A. Arthur,Republican,3,,,,,,
William Adams Richardson,Chester A. Arthur,Republican,3,Harvard Law School,LL.B.,1846-01-01,1846,Harvard,LL.B.
John Davis,Chester A. Arthur,Republican,3,Frederick William University (now Humboldt University of Berlin),,,,Humboldt Uof Berlin,
George Wesley Atkinson,Theodore Roosevelt,Republican,3,Howard University Law Department,LL.B.,1874-01-01,1874,Howard,LL.B.
Stanton Judkins Peelle,Theodore Roosevelt,Republican,3,"Read law with William A. Peelle, Centerville, Indiana",,1866-01-01,1866,"Read law with William A. Peelle,ville, Indiana",
Samuel Stebbins Barney,Theodore Roosevelt,Republican,3,,,,,,
James Hay,Woodrow Wilson,Democratic,3,,,,,,
George Eddy Downey,Woodrow Wilson,Democratic,3,,,,,,
Edward Kernan Campbell,Woodrow Wilson,Democratic,3,,,,,,
Samuel Jordan Graham,Woodrow Wilson,Democratic,3,,,,,,
William Raymond Green,Calvin Coolidge,Republican,3,,,,,,
John McKenzie Moss,Calvin Coolidge,Republican,3,,,,,,
Fenton Whitlock Booth,Calvin Coolidge,Republican,3,,,,,,
Nicholas John Sinnott,Calvin Coolidge,Republican,3,,,,,,
Joseph Warren Madden,Franklin D. Roosevelt,Democratic,3,,,,,,
Richard Smith Whaley,Franklin D. Roosevelt,Democratic,3,,,,,,
Samuel Estill Whitaker,Franklin D. Roosevelt,Democratic,3,,,,,,
Charles Bowen Howry,Grover Cleveland,Democratic,3,,,,,,
Charles Bowen Howry,Grover Cleveland,Democratic,3,,,,,,
Charles Cooper Nott,Grover Cleveland,Democratic,3,,,,,,
Charles Cooper Nott,Grover Cleveland,Democratic,3,,,,,,
Benjamin Horsley Littleton,Herbert Hoover,Republican,3,,,,,,
Thomas Sutler Williams,Herbert Hoover,Republican,3,,,,,,
James Randall Durfee,Dwight D. Eisenhower,Republican,3,,,,,,
Joseph Casey,Abraham Lincoln,Republican,3,,,,,,
David Wilmot,Abraham Lincoln,Republican,3,,,,,,
Ebenezer Peck,Abraham Lincoln,Republican,3,,,,,,
Charles Daniel Drake,Ulysses Grant,Republican,3,"Partridge Military Academy, Middletown, Connecticut",,,,"Partridge Military Academy, Middletown, Connecticut",
Samuel Milligan,Andrew Johnson,Democratic,3,"Read law with Robert J. McKinney, Greeneville, Tennessee",,1846-01-01,1846,"Read law with Robert J. McKinney, Greeneville, Tennessee",
George Evan Howell,Harry S Truman,Democratic,3,,,,,,
Robert Lowe Kunzig,Richard M. Nixon,Republican,3,,,,,,
William Henry Hunt,Rutherford B. Hayes,Republican,3,"Read law with Theodore Hunt and Randell Hunt, New Orleans, Louisiana",,1844-01-01,1844,"Read law with Theodore Hunt and Randell Hunt, New Orleans, Louisiana",
Glenni William Scofield,James A. Garfield,Republican,3,,,,,,
Linton McGee Collins,Lyndon B. Johnson,Democratic,3,,,,,,
John Archibald Campbell,Franklin Pierce,Democratic,3,,,,,,
Nathan Clifford,James Buchanan,Democratic,3,,,,,,
Samuel M. Blatchford,Chester A. Arthur,Republican,3,,,,,,
Horace Gray,Chester A. Arthur,Republican,3,Read law,,1851-01-01,1851,Read law,
"Oliver Wendell Holmes, Jr.",Theodore Roosevelt,Republican,3,,,,,,
William Henry Moody,Theodore Roosevelt,Republican,3,Read law,,1878-01-01,1878,Read law,
William Rufus Day,Theodore Roosevelt,Republican,3,Read law,,1871-01-01,1871,Read law,
James Clark McReynolds,Woodrow Wilson,Democratic,3,,,,,,
Louis Dembitz Brandeis,Woodrow Wilson,Democratic,3,,,,,,
John Hessin Clarke,Woodrow Wilson,Democratic,3,,,,,,
Harlan Fiske Stone,Franklin D. Roosevelt,Democratic,3,Columbia Law School,LL.B.,1898-01-01,1898,Columbia,LL.B.
Hugo Lafayette Black,Franklin D. Roosevelt,Democratic,3,,,,,,
Felix Frankfurter,Franklin D. Roosevelt,Democratic,3,,,,,,
James Francis Byrnes,Franklin D. Roosevelt,Democratic,3,,,,,,
Wiley Blount Rutledge,Franklin D. Roosevelt,Democratic,3,,,,,,
William Orville Douglas,Franklin D. Roosevelt,Democratic,3,,,,,,
Stanley Forman Reed,Franklin D. Roosevelt,Democratic,3,Kentucky Wesleyan College,B.A.,1902-01-01,1902,Kentucky Wesleyan,B.A.
Robert Houghwout Jackson,Franklin D. Roosevelt,Democratic,3,,,,,,
Frank Murphy,Franklin D. Roosevelt,Democratic,3,,,,,,
Melville Weston Fuller,Grover Cleveland,Democratic,3,Bowdoin College,A.M.,1856-01-01,1856,Bowdoin,M.A.
Melville Weston Fuller,Grover Cleveland,Democratic,3,Bowdoin College,A.M.,1856-01-01,1856,Bowdoin,M.A.
Lucius Quintus Cincinnatus Lamar,Grover Cleveland,Democratic,3,,,,,,
Lucius Quintus Cincinnatus Lamar,Grover Cleveland,Democratic,3,,,,,,
Rufus Wheeler Peckham,Grover Cleveland,Democratic,3,,,,,,
Rufus Wheeler Peckham,Grover Cleveland,Democratic,3,,,,,,
Charles Evans Hughes,Herbert Hoover,Republican,3,Columbia Law School,LL.B.,1884-01-01,1884,Columbia,LL.B.
Benjamin Nathan Cardozo,Herbert Hoover,Republican,3,,,,,,
Owen Josephus Roberts,Herbert Hoover,Republican,3,,,,,,
Earl Warren,Dwight D. Eisenhower,Republican,3,,,,,,
"William Joseph Brennan, Jr.",Dwight D. Eisenhower,Republican,3,,,,,,
Charles Evans Whittaker,Dwight D. Eisenhower,Republican,3,,,,,,
Potter Stewart,Dwight D. Eisenhower,Republican,3,,,,,,
John Marshall Harlan,Dwight D. Eisenhower,Republican,3,New York Law School,LL.B.,1924-01-01,1924,New York,LL.B.
Salmon Portland Chase,Abraham Lincoln,Republican,3,,,,,,
Samuel Freeman Miller,Abraham Lincoln,Republican,3,,,,,,
Noah Haynes Swayne,Abraham Lincoln,Republican,3,,,,,,
David Davis,Abraham Lincoln,Republican,3,Read law,,1834-01-01,1834,Read law,
Stephen Johnson Field,Abraham Lincoln,Republican,3,,,,,,
Morrison Remick Waite,Ulysses Grant,Republican,3,,,,,,
Ward Hunt,Ulysses Grant,Republican,3,Read law,,1831-01-01,1831,Read law,
William Strong,Ulysses Grant,Republican,3,Yale College,M.A.,1831-01-01,1831,Yale,M.A.
Joseph P. Bradley,Ulysses Grant,Republican,3,,,,,,
Frederick Moore Vinson,Harry S Truman,Democratic,3,,,,,,
Sherman Minton,Harry S Truman,Democratic,3,,,,,,
Harold Hitz Burton,Harry S Truman,Democratic,3,,,,,,
Tom C. Clark,Harry S Truman,Democratic,3,,,,,,
Warren Earl Burger,Richard M. Nixon,Republican,3,,,,,,
"Lewis Franklin Powell, Jr.",Richard M. Nixon,Republican,3,Harvard Law School,LL.M.,1932-01-01,1932,Harvard,LL.M.
Harry Andrew Blackmun,Richard M. Nixon,Republican,3,,,,,,
William Burnham Woods,Rutherford B. Hayes,Republican,3,,,,,,
John Marshall Harlan,Rutherford B. Hayes,Republican,3,Read law,,1853-01-01,1853,Read law,
Stanley Matthews,James A. Garfield,Republican,3,,,,,,
Abe Fortas,Lyndon B. Johnson,Democratic,3,,,,,,
Thurgood Marshall,Lyndon B. Johnson,Democratic,3,,,,,,
Edward Douglass White,William H. Taft,Republican,3,,,,,,
Willis Van Devanter,William H. Taft,Republican,3,,,,,,
Horace Harmon Lurton,William H. Taft,Republican,3,,,,,,
Joseph Rucker Lamar,William H. Taft,Republican,3,Read law,,1878-01-01,1878,Read law,
Mahlon Pitney,William H. Taft,Republican,3,,,,,,
William Howard Taft,Warren G. Harding,Republican,3,,,,,,
George Sutherland,Warren G. Harding,Republican,3,,,,,,
Edward Terry Sanford,Warren G. Harding,Republican,3,Harvard University,M.A.,1889-01-01,1889,Harvard,M.A.
Pierce Butler,Warren G. Harding,Republican,3,,,,,,
David Hackett Souter,George H.W. Bush,Republican,3,"University of Oxford, Magdalen College",M.A.,1963-01-01,1963,"Uof Oxford, Magdalen",M.A.
Clarence Thomas,George H.W. Bush,Republican,3,,,,,,
"John Glover Roberts, Jr.",George W. Bush,Republican,3,,,,,,
"Samuel A. Alito, Jr.",George W. Bush,Republican,3,,,,,,
William Hubbs Rehnquist,Ronald Reagan,Republican,3,Harvard University,M.A.,1949-01-01,1949,Harvard,M.A.
Anthony McLeod Kennedy,Ronald Reagan,Republican,3,,,,,,
Sandra Day O'Connor,Ronald Reagan,Republican,3,,,,,,
Antonin Scalia,Ronald Reagan,Republican,3,,,,,,
Stephen Gerald Breyer,William J. Clinton,Democratic,3,Harvard Law School,LL.B.,1964-01-01,1964,Harvard,LL.B.
Ruth Bader Ginsburg,William J. Clinton,Democratic,3,Columbia Law School,LL.B.,1959-01-01,1959,Columbia,LL.B.
Sonia Sotomayor,Barack Obama,Democratic,3,,,,,,
Elena Kagan,Barack Obama,Democratic,3,Harvard Law School,J.D.,1986-01-01,1986,Harvard,J.D.
John Jay,George Washington,,3,Read law,,1768-01-01,1768,Read law,
John Rutledge,George Washington,,3,,,,,,
Oliver Ellsworth,George Washington,,3,,,,,,
Thomas Johnson,George Washington,,3,,,,,,
William Paterson,George Washington,,3,Read law,,1768-01-01,1768,Read law,
William Cushing,George Washington,,3,,,,,,
James Wilson,George Washington,,3,University of St. Andrews,,,,Uof St. Andrews,
"John Blair, Jr.",George Washington,,3,,,,,,
Samuel Chase,George Washington,,3,,,,,,
James Iredell,George Washington,,3,,,,,,
John Marshall,John Adams,Federalist,3,,,,,,
Bushrod Washington,John Adams,Federalist,3,,,,,,
Alfred Moore,John Adams,Federalist,3,,,,,,
Roger Brooke Taney,Andrew Jackson,Democratic,3,,,,,,
Henry Baldwin,Andrew Jackson,Democratic,3,,,,,,
Philip Pendelton Barbour,Andrew Jackson,Democratic,3,,,,,,
James Moore Wayne,Andrew Jackson,Democratic,3,,,,,,
John McLean,Andrew Jackson,Democratic,3,,,,,,
John Catron,Andrew Jackson,Democratic,3,,,,,,
Henry Brockholst Livingston,Thomas Jefferson,Jeffersonian Republican,3,,,,,,
"William Johnson, Jr.",Thomas Jefferson,Jeffersonian Republican,3,,,,,,
Thomas Todd,Thomas Jefferson,Jeffersonian Republican,3,,,,,,
Smith Thompson,James Monroe,Jeffersonian Republican,3,,,,,,
Samuel Nelson,John Tyler,Whig,3,,,,,,
Brett M. Kavanaugh,Donald J. Trump,Republican,3,,,,,,
Neil M. Gorsuch,Donald J. Trump,Republican,3,University of Oxford,D.Phil.,2004-01-01,2004,Uof Oxford,Ph.D.
Joseph Story,James Madison,Jeffersonian Republican,3,,,,,,
Gabriel Duvall,James Madison,Jeffersonian Republican,3,,,,,,
Levi Woodbury,James K. Polk,Democratic,3,Read law,,1812-01-01,1812,Read law,
Robert Cooper Grier,James K. Polk,Democratic,3,,,,,,
Benjamin Robbins Curtis,Millard Fillmore,Whig,3,,,,,,
Arthur Joseph Goldberg,John F. Kennedy,Democratic,3,,,,,,
Byron Raymond White,John F. Kennedy,Democratic,3,Yale Law School,LL.B.,1946-01-01,1946,Yale,LL.B.
Howell Edmunds Jackson,Benjamin Harrison,Republican,3,Cumberland School of Law,LL.B.,1856-01-01,1856,Cumberland,LL.B.
Henry Billings Brown,Benjamin Harrison,Republican,3,Yale College,B.A.,1856-01-01,1856,Yale,B.A.
David Josiah Brewer,Benjamin Harrison,Republican,3,Read law,,1857-01-01,1857,Read law,
"George Shiras, Jr.",Benjamin Harrison,Republican,3,Read law,,1855-01-01,1855,Read law,
Peter Vivian Daniel,Martin Van Buren,Democratic,3,,,,,,
John McKinley,Martin Van Buren,Democratic,3,,,,,,
