Ind,Court_Circuit,Court_Name_Long,Court_Name_Short,Court_Abbrev_Bluebook,Court_Abbrev_Website,State_Name,State_Abbrev,Court_Type,Court_Category,Court_Cat_Const
55,6,U.S. District Court for the Eastern District of Michigan,Eastern District of Michigan,E.D. Mich.,06 - MI-E,Michigan,MI,District Court,Federal,Article III
56,6,U.S. District Court for the Western District of Michigan,Western District of Michigan,W.D. Mich.,06 - MI-W,Michigan,MI,District Court,Federal,Article III
57,8,U.S. District Court for the District of Minnesota,District of Minnesota,D. Minn.,08 - MN,Minnesota,MN,District Court,Federal,Article III
58,5,U.S. District Court for the Northern District of Mississippi,Northern District of Mississippi,N.D. Miss.,05 - MS-N,Mississippi,MS,District Court,Federal,Article III
59,5,U.S. District Court for the Southern District of Mississippi,Southern District of Mississippi,S.D. Miss.,05 - MS-S,Mississippi,MS,District Court,Federal,Article III
60,8,U.S. District Court for the Eastern District of Missouri,Eastern District of Missouri,E.D. Mo.,08 - MO-E,Missouri,MO,District Court,Federal,Article III
61,8,U.S. District Court for the Western District of Missouri,Western District of Missouri,W.D. Mo.,08 - MO-W,Missouri,MO,District Court,Federal,Article III
62,9,U.S. District Court for the District of Montana,District of Montana,D. Mont.,09 - MT,Montana,MT,District Court,Federal,Article III
63,8,U.S. District Court for the District of Nebraska,District of Nebraska,D. Neb.,08 - NE,Nebraska,NE,District Court,Federal,Article III
64,9,U.S. District Court for the District of Nevada,District of Nevada,D. Nev.,09 - NV,Nevada,NV,District Court,Federal,Article III
65,1,U.S. District Court for the District of New Hampshire,District of New Hampshire,D.N.H.,01 - NH,New Hampshire,NH,District Court,Federal,Article III
66,3,U.S. District Court for the District of New Jersey,District of New Jersey,D.N.J.,03 - NJ,New Jersey,NJ,District Court,Federal,Article III
67,10,U.S. District Court for the District of New Mexico,District of New Mexico,D.N.M.,10 - NM,New Mexico,NM,District Court,Federal,Article III
68,2,U.S. District Court for the Eastern District of New York,Eastern District of New York,E.D.N.Y.,02 - NY-E,New York,NY,District Court,Federal,Article III
69,2,U.S. District Court for the Northern District of New York,Northern District of New York,N.D.N.Y.,02 - NY-N,New York,NY,District Court,Federal,Article III
70,2,U.S. District Court for the Southern District of New York,Southern District of New York,S.D.N.Y.,02 - NY-S,New York,NY,District Court,Federal,Article III
71,2,U.S. District Court for the Western District of New York,Western District of New York,W.D.N.Y.,02 - NY-W,New York,NY,District Court,Federal,Article III
72,4,U.S. District Court for the Eastern District of North Carolina,Eastern District of North Carolina,E.D.N.C.,04 - NC-E,North Carolina,NC,District Court,Federal,Article III
73,4,U.S. District Court for the Middle District of North Carolina,Middle District of North Carolina,M.D.N.C.,04 - NC-M,North Carolina,NC,District Court,Federal,Article III
74,4,U.S. District Court for the Western District of North Carolina,Western District of North Carolina,W.D.N.C.,04 - NC-W,North Carolina,NC,District Court,Federal,Article III
75,8,U.S. District Court for the District of North Dakota,District of North Dakota,D.N.D.,08 - ND,North Dakota,ND,District Court,Federal,Article III
76,109,U.S. District Court for the District of the Northern Mariana Islands,District of the Northern Mariana Islands,D.N. Mar. Is.,09 - MP,Northern Mariana Islands,MP,District Court,Territorial,Article IV
77,6,U.S. District Court for the Northern District of Ohio,Northern District of Ohio,N.D. Ohio,06 - OH-N,Ohio,OH,District Court,Federal,Article III
78,6,U.S. District Court for the Southern District of Ohio,Southern District of Ohio,S.D. Ohio,06 - OH-S,Ohio,OH,District Court,Federal,Article III
79,10,U.S. District Court for the Eastern District of Oklahoma,Eastern District of Oklahoma,E.D. Okla.,10 - OK-E,Oklahoma,OK,District Court,Federal,Article III
80,10,U.S. District Court for the Northern District of Oklahoma,Northern District of Oklahoma,N.D. Okla.,10 - OK-N,Oklahoma,OK,District Court,Federal,Article III
81,10,U.S. District Court for the Western District of Oklahoma,Western District of Oklahoma,W.D. Okla.,10 - OK-W,Oklahoma,OK,District Court,Federal,Article III
82,9,U.S. District Court for the District of Oregon,District of Oregon,D. Or.,09 - OR,Oregon,OR,District Court,Federal,Article III
83,3,U.S. District Court for the Eastern District of Pennsylvania,Eastern District of Pennsylvania,E.D. Pa.,03 - PA-E,Pennsylvania,PA,District Court,Federal,Article III
84,3,U.S. District Court for the Middle District of Pennsylvania,Middle District of Pennsylvania,M.D. Pa.,03 - PA-M,Pennsylvania,PA,District Court,Federal,Article III
85,3,U.S. District Court for the Western District of Pennsylvania,Western District of Pennsylvania,W.D. Pa.,03 - PA-W,Pennsylvania,PA,District Court,Federal,Article III
86,1,U.S. District Court for the District of Puerto Rico,District of Puerto Rico,D.P.R.,01 - PR,Puerto Rico,PR,District Court,Federal,Article III
87,1,U.S. District Court for the District of Rhode Island,District of Rhode Island,D.R.I.,01 - RI,Rhode Island,RI,District Court,Federal,Article III
88,4,U.S. District Court for the District of South Carolina,District of South Carolina,D.S.C.,04 - SC,South Carolina,SC,District Court,Federal,Article III
89,8,U.S. District Court for the District of South Dakota,District of South Dakota,D.S.D.,08 - SD,South Dakota,SD,District Court,Federal,Article III
90,6,U.S. District Court for the Eastern District of Tennessee,Eastern District of Tennessee,E.D. Tenn.,06 - TN-E,Tennessee,TN,District Court,Federal,Article III
91,6,U.S. District Court for the Middle District of Tennessee,Middle District of Tennessee,M.D. Tenn.,06 - TN-M,Tennessee,TN,District Court,Federal,Article III
92,6,U.S. District Court for the Western District of Tennessee,Western District of Tennessee,W.D. Tenn.,06 - TN-W,Tennessee,TN,District Court,Federal,Article III
93,5,U.S. District Court for the Eastern District of Texas,Eastern District of Texas,E.D. Tex.,05 - TX-E,Texas,TX,District Court,Federal,Article III
94,5,U.S. District Court for the Northern District of Texas,Northern District of Texas,N.D. Tex.,05 - TX-N,Texas,TX,District Court,Federal,Article III
95,5,U.S. District Court for the Southern District of Texas,Southern District of Texas,S.D. Tex.,05 - TX-S,Texas,TX,District Court,Federal,Article III
96,5,U.S. District Court for the Western District of Texas,Western District of Texas,W.D. Tex.,05 - TX-W,Texas,TX,District Court,Federal,Article III
97,10,U.S. District Court for the District of Utah,District of Utah,D. Utah,10 - UT,Utah,UT,District Court,Federal,Article III
98,2,U.S. District Court for the District of Vermont,District of Vermont,D. Vt.,02 - VT,Vermont,VT,District Court,Federal,Article III
99,4,U.S. District Court for the Eastern District of Virginia,Eastern District of Virginia,E.D. Va.,04 - VA-E,Virginia,VA,District Court,Federal,Article III
100,4,U.S. District Court for the Western District of Virginia,Western District of Virginia,W.D. Va.,04 - VA-W,Virginia,VA,District Court,Federal,Article III
101,103,U.S. District Court for the District of the Virgin Islands,District of the Virgin Islands,D.V.I.,03 - VI,Virgin Islands,VI,District Court,Territorial,Article IV
102,9,U.S. District Court for the Eastern District of Washington,Eastern District of Washington,E.D. Wash.,09 - WA-E,Washington,WA,District Court,Federal,Article III
